"id","c_date","campaign_name","category","campaign_id","impressions","mark_spent","clicks","leads","orders","revenue"
1,"2021-01-01","facebook_tier1","social",349043,5884859,427951,42296,6622,191,542057
2,"2021-01-01","facebOOK_tier2","social",348934,2539786,230217,284697,769,197,522303
3,"2021-01-01","google_hot","search",89459845,10392281,362071,76552,2605,69,397964
4,"2021-01-01","google_wide","search",127823,6692252,186915,1881,9589,280,102025
5,"2021-01-01","youtube_blogger","influencer",10934,23947583,96397,17968,2925,88,503377
6,"2021-01-01","instagram_tier1","social",9034945,19748953,51144,106955,946,26,329776
7,"2021-01-01","instagram_tier2","social",983498,10705099,179271,26693,1145,183,353027
8,"2021-01-01","facebook_retargeting","social",4387490,12479224,667910,16210,1153,74,616809
9,"2021-01-01","facebook_lal","social",544756,9903913,335541,52821,4719,82,294159
10,"2021-01-01","instagram_blogger","influencer",374754,5466296,680371,17953,6868,65,566247
11,"2021-01-01","banner_partner","media",39889,19125664,261426,98959,3181,291,499917
12,"2021-01-02","facebook_tier1","social",349043,5658112,395649,288639,1159,310,1119678
13,"2021-01-02","facebOOK_tier2","social",348934,4532391,210677,129062,1313,85,771268
14,"2021-01-02","google_hot","search",89459845,17175915,123485,131388,1019,219,211376
15,"2021-01-02","google_wide","search",127823,7107566,195303,19090,954,15,2187305
16,"2021-01-02","youtube_blogger","influencer",10934,21328213,440187,82606,7121,53,161338
17,"2021-01-02","instagram_tier1","social",9034945,23700077,432358,46164,417,50,10081
18,"2021-01-02","instagram_tier2","social",983498,3151376,327064,207762,165,12,155828
19,"2021-01-02","facebook_retargeting","social",4387490,2056284,25630,60364,3536,160,7544
20,"2021-01-02","facebook_lal","social",544756,10297425,3371,157737,1116,28,770700
21,"2021-01-02","instagram_blogger","influencer",374754,17380527,51893,16788,1199,458,229028
22,"2021-01-02","banner_partner","media",39889,15839238,225551,33237,6317,194,2493190
23,"2021-01-03","facebook_tier1","social",349043,11175066,345091,67143,2005,19,295795
24,"2021-01-03","facebOOK_tier2","social",348934,9340564,295870,69332,3205,21,3885370
25,"2021-01-03","google_hot","search",89459845,22606648,326306,15375,3518,218,168668
26,"2021-01-03","google_wide","search",127823,8512314,316906,63393,848,63,206565
27,"2021-01-03","youtube_blogger","influencer",10934,4266669,20567,25787,387,313,1552819
28,"2021-01-03","instagram_tier1","social",9034945,11630997,453463,49052,1755,28,585366
29,"2021-01-03","instagram_tier2","social",983498,10090388,306579,112197,354,445,598013
30,"2021-01-03","facebook_retargeting","social",4387490,4260961,116543,86941,1660,243,1972872
31,"2021-01-03","facebook_lal","social",544756,9061827,861,56419,1954,69,111148
32,"2021-01-03","instagram_blogger","influencer",374754,21783256,805975,7047,913,157,351784
33,"2021-01-03","banner_partner","media",39889,6658626,598959,26777,2377,86,739397
34,"2021-01-04","facebook_tier1","social",349043,11151386,909112,36134,3561,470,1788148
35,"2021-01-04","facebOOK_tier2","social",348934,3406165,187672,128192,4993,289,1366984
36,"2021-01-04","google_hot","search",89459845,18272598,267335,42438,41,231,1560628
37,"2021-01-04","google_wide","search",127823,12982114,205818,303887,2483,57,2108818
38,"2021-01-04","youtube_blogger","influencer",10934,9018328,922716,310105,214,153,2146403
39,"2021-01-04","instagram_tier1","social",9034945,14363429,67113,26547,7561,2,1401453
40,"2021-01-04","instagram_tier2","social",983498,10556096,393890,120831,4379,255,487164
41,"2021-01-04","facebook_retargeting","social",4387490,10295936,1433625,190191,5331,9,1789527
42,"2021-01-04","facebook_lal","social",544756,4512527,333550,58956,3273,35,188215
